abbr     time          wkwtp1d0  wkwtg1d0  wkwtp2d0  wkwtg2d0  wkwtp3d0  wkwtg3d0  wkwtg0d0  wkmowkd0  wkcap1d0  wkcap2d0  wkcap3d0
     RHW 19570901            10         1        18         9        26         9         1         1         3         2         2
     RHW 19570902             9         1        17         1        25         1         1         1         1         2         1
     RHW 19570903             5         1         5         1        21         1         3         3         1         9         3
     RHW 19570904             5         4        13         4        21         4         4         4         1         9        22
     RHW 19570905             5         3        13        11        13        11         3        10         1         2         5
     RHW 19570906             5         3        13        11        13        19         3         3         1         2         1
     RHW 19570907             2         3        10        11        10        11         1        10         3         4         1
     RHW 19570908             2         2         2        10         2        10         2         2         3         2         2
     RHW 19570909             4         2        12        10        20        10         2         2         5         3        11
     RHW 19570910             3         1        11         9        19        17         1         1         3         2         2
     RHW 19570911             1         1         9         9         9         9         1         1         2        11        21
     RHW 19570912             3         1         3         9        19        17         1         1         7         8        15
     RHW 19570913             1         1         1         1        17        17         1         1         7        11        21
     RHW 19570914             1         2         1         2         1         2         2         2         6         8         6
     RHW 19570915             4         1        12         1        20         1         1        10         1         1         3
     RHW 19570916             3         3        11         3        11        19         3         3         3         2         5
     RHW 19570917             1         3         9        11         9        19         3         3         3        15        13
     RHW 19570918             3         3        11        11        11        11         3        10         3         2         1
     RHW 19570919             1         1         9         9         9         9         1        11         2         1         4
     RHW 19570920             2         1        10         9        10         9         1        11         2         1         4
     RHW 19570921             2         1         2         9        18         9         1        11         2         1         4
     RHW 19570922             1         1         9         9         9         9         1        10         2         4         4
     RHW 19570923             1         1         9         9         9        17         1         1         2        11        21
     RHW 19570924             3         1        11         9        19         9         1         1         2         1         4
     RHW 19570925             6         1         6         9        22         9         1         1         1         6         7
     RHW 19570926             6         1         6         1         6        17         1        11         1         1         3
     RHW 19570927             5         4        13        12        13        20         4         4         4         2         5
     RHW 19570928             4         3        12        11        12        11         3         3         1         2         5
     RHW 19570929             3         1        11         9        19         9         1         1         7         8         6
     RHW 19570930             5         1         5         1         5        17         1         1         6        13        10
     RHW 19571001             6         1         6         1        22         1         2         2         1         9        22
     RHW 19571002             6         1        14         1        22         1         3        10         4         6         9
     RHW 19571003             6         3        14         3        14        19         3        10         1         2         5
     RHW 19571004             6         3        14        11        14        11         3         3         4         9         9
     RHW 19571005             6         3        14        11        14        19         3        10         4         3         9
     RHW 19571006             6         4        14        12        14        12         5        10         4         3         9
     RHW 19571007             7         7        15        15        15        23         6        10         4         5         8
     RHW 19571008             7         7        15        15        23        23         7        10         4         5         8
     RHW 19571009             7         7        15        15        15        15         7        10         4         5         2
     RHW 19571010             7         8        15        16        15        16         8        10         3         5         2
     RHW 19571011             8         8        16        16        16        16         8        10         3         5         2
     RHW 19571012             6         1        14         9        14         9         2        11         5         3        11
     RHW 19571013             7         2        15        10        15        10         8        11         5         5         8
     RHW 19571014             6         3        14         3        22        19         1        11         5         3         8
     RHW 19571015             7         4        15        12        15        12         2        11         5         5         8
     RHW 19571016             8         1        16         9        16         9         2        10         3         5         2
     RHW 19571017            10         1        18         9        26         9         1        10         3         5         2
     RHW 19571018             1         1         9         9         9         9         1         1         3         4        20
     RHW 19571019             2         2        10        10        10        10         2         2         2        11         4
     RHW 19571020             5         2         5        10        21        18         2         2         1         1         3
     RHW 19571021             7         1        15         9        15        17         1        11         2         1         3
     RHW 19571022             9         2        17         2        25        18         2         2         7        16        15
     RHW 19571023             5         7        13         7        13         7         6         6         6        13        23
     RHW 19571024             5        10        13        18        13        26         5        10         4         2         5
     RHW 19571025             6         4        14        12        14        12         4        10         4         5         8
     RHW 19571026             7        10        15        18        15        26         1        11         4         5         2
     RHW 19571027             7         2        15        10        15        18         2         2         3         2         2
     RHW 19571028             6         1        14         1        14         1         4        10         1         6         7
     RHW 19571029            10        10        18        18        26        26         1        11         3         2         2
     RHW 19571030            10         1        18         9        26         9         2        10         1         1         1
     RHW 19571031             1         1         9         9         9         9         1        10         3         4         1
     RHW 19571101             1         2         9        10         9        10         2         2         2         8         6
     RHW 19571102             2         2        10        10        10        10         2         2         2         7         4
     RHW 19571103             2         2        10        10        10        18         2         2         2         7         4
     RHW 19571104             2         2        10        10        10        10         2         2         2        11        21
     RHW 19571105             2         2        10        10        10        10         2         2         7        14        19
     RHW 19571106             2         8         2        16         2        24         8         8         7        14        19
     RHW 19571107             8         8         8         8         8        24         8         8         7        16        19
     RHW 19571108             6         8         6         8         6         8         8         9         7        16        23
     RHW 19571109             7         8        15        16        15        24         8         8         7        16        25
     RHW 19571110             7         7         7         7         7         7         7         7         9        16        25
     RHW 19571111             5         6         5         6         5         6         5         5         6        13        23
     RHW 19571112             6         4         6         4         6        20         4        10         1         9        22
     RHW 19571113             6         4         6         4        22         4         1        10         4         3         9
     RHW 19571114             7         8        15         8        23         8         2        10         5         5         8
     RHW 19571115             7         8        15        16        15        16         8        10         5        12         8
     RHW 19571116             7         2        15        10        15        10         2        10         8        10        18
     RHW 19571117             7         1         7         1        23        17         2        10         5        12        18
     RHW 19571118             7         7        15         7        23         7         6         6         5        12         8
     RHW 19571119             7         6        15        14        23        22         6         6         5        12        16
     RHW 19571120             7         6        15         6        23         6         5        10         8        12        18
     RHW 19571121             7         7        15         7        23         7         7        11         8        12        18
     RHW 19571122             7         2        15        10        15        10         2        10         4         5         2
     RHW 19571123             6         1        14         9        14         9         1        11         4         3         9
     RHW 19571124             6         5        14        13        14        13         5         5         5        12        16
     RHW 19571125             6         4        14        12        14        12         5        10         5        12        16
     RHW 19571126             5         5        13        13        13        13         5        10         5        10        16
     RHW 19571127             5         4        13        12        13        12         4        10         5         3        11
     RHW 19571128             4         3        12        11        12        11         3        10         4         3        11
     RHW 19571129             5         4        13        12        21        12         4        10         1         9         5
     RHW 19571130             6         4        14         4        14        20         4         4         4        12        16
     RHW 19571201             6         5        14         5        14        21         4         4         5        12        16
     RHW 19571202             5         5        13        13        13        21         5         5         5        12        16
     RHW 19571203             5         5        13        13        13        21         5         5         4         3         9
     RHW 19571204             6         5        14        13        14        21         5         5         5         3        16
     RHW 19571205             5         5        13        13        13        13         5        10         5         3        16
     RHW 19571206             6         4        14        12        14        12         5        11         5         3         8
     RHW 19571207             1         3         9        11         9        11         3        10         3        15        20
     RHW 19571208             1         3         9        11         9        11         3         3         9        14        24
     RHW 19571209             3         1         3         9        19        17         1         1         9        18        25
     RHW 19571210             4         1        12         1        12        17         3         3         7        16        15
     RHW 19571211             8         2        16        10        24        18         2         2         9        18        24
     RHW 19571212             8         2        16        10        24        18         8         8         9        18        27
     RHW 19571213             8         8         8         8         8         8         8         9         9        18        27
     RHW 19571214             9         2        17         2        25         2         2         9         9        18        27
     RHW 19571215             6         8         6         8         6        24         7         9         6        13        14
     RHW 19571216             6         6         6         6        22         6         5        10         4         6         9
     RHW 19571217             6         6         6         6        22         6         5        11         1         9        22
     RHW 19571218             5         4        13        12        13        20         4        10         4         3         9
     RHW 19571219             5         9        13        17        21        25         3        10         5        10        12
     RHW 19571220            10         5        18        13        26        21         5        10         8        17        26
     RHW 19571221            10         6        18        14        26        14         5        10         8        17        26
     RHW 19571222             8         6        16         6        16         6         6        10         5        10        12
     RHW 19571223             2         2        10         2        10         2         1         1         3         4        17
     RHW 19571224             8         2        16        10        16        10         2         2         3         4        17
     RHW 19571225             8        10        16        18        16        26         7        10         3         5         2
     RHW 19571226             7        10        15        18        15        26         8        11         5        10        12
     RHW 19571227             7         7        15        15        15        15         8        11         5        10        12
     RHW 19571228            10         1        18         1        26         1         5        10         3         5        11
     RHW 19571229            10         1        18         9        26         9         3        10         1         1         1
     RHW 19571230            10         1        18         9        26         9         3        11         6         8        10
     RHW 19571231            10         3        18        11        26        11         3         3         6         8        15
     RHW 19580101             1         1         9         9         9         9         1        11         7         8         6
     RHW 19580102             7         1        15         9        15         9         1        11         6         7        14
     RHW 19580103             6         3        14        11        14        11         3        11         4         3         9
     RHW 19580104             7         3        15        11        15        11         3         3         5        12         8
     RHW 19580105             2         1        10         9        10         9         1         1         3         4        17
     RHW 19580106             1         3         9        11         9        19         3         3         7        14        21
     RHW 19580107             3         1         3         1        19         1         3         3         9        18        27
     RHW 19580108             4         3        12         3        20         3         4         4         1         9        10
     RHW 19580109             1         1         9         9         9         9         1         1         2        11        21
     RHW 19580110             1         1         9         1         9        17         3         3         7         8        15
     RHW 19580111             2         2        10         2        18         2         2         2         9        18        27
     RHW 19580112             6         8         6         8         6         8         8         9         9        18        27
     RHW 19580113             6         7         6         7        22         7         6         6         6        13        23
     RHW 19580114             6         6         6         6        22        22         6        10         4         9        22
     RHW 19580115             5         5        13        13        21        21         5        10         5        12        16
     RHW 19580116             6         5        14         5        14        21         5         5         8        12        18
     RHW 19580117            10         5        18        13        26        13         5        10         5        10        12
     RHW 19580118            10         3        18        11        26        11         3        10         3         2         5
     RHW 19580119             1         1         9         9         9         9         1         1         7        14        15
     RHW 19580120             3         1         3         1         3        17         1         1         9        16        15
     RHW 19580121             3         2        11         2        11         2         1         1         7         8        15
     RHW 19580122             2         2        10        10        10        18         2         2         7        14        19
     RHW 19580123             5         2        13         2        13         2         2        11         6         8         6
     RHW 19580124             1         1         9         1         9         1         1         1         3         4         1
     RHW 19580125            10         3        18         3        26        19         3         3         5        10        12
     RHW 19580126             8         4        16        12        16        12         3        10         8        17        18
     RHW 19580127             7         5        15        13        15        21         4        11         8        17        26
     RHW 19580128             8         5        16         5        16        21         5        10         8        17        18
     RHW 19580129            10         6        18        14        26        14         7        10         5        10        12
     RHW 19580130             5        10        13        18        13        26         8        10         8        10        18
     RHW 19580131             6        10        14        18        14        26         8        11         8        12        18
     RHW 19580201             6        10        14        18        14        26         2        11         8        17        18
     RHW 19580202            10         3        18        11        26        11         3        11         8        17        18
     RHW 19580203             4         3        12        11        12        11         3         3         5        10        12
     RHW 19580204            10         3        18        11        26        11         3         3         5        10        12
     RHW 19580205             1         1         9         9         9         9         1         1         2        11        20
     RHW 19580206             3         1         3         9        19         9         1         1         7         8        15
     RHW 19580207             3         1         3         9         3         9         1         1         7        16        15
     RHW 19580208             2         1        10         9        10         9         1         1         7        14        19
     RHW 19580209             1         1         9         9         9         9         1        11         2        11        21
     RHW 19580210             2         1        10         9        10         9         2        11         2        11        21
     RHW 19580211             2         2        10        10        10        10         2         2         7        11        21
     RHW 19580212             2         1        10         9        10         9         1         1         2         4        17
     RHW 19580213             2         1        10         9        10         9         1         1         5        15        13
     RHW 19580214             1         1         9         9         9         9         1         1         5        10        12
     RHW 19580215             3         3        11        11        11        11         1         1         5        10        12
     RHW 19580216             3         3        11        11        11        11         3         3         3        15        20
     RHW 19580217             3         1         3         9        19         9         1         1         6         8        10
     RHW 19580218             5         1         5         1         5        17         1         1         6        16        23
     RHW 19580219             5         9        13        17        21        25         4         4         6        13        23
     RHW 19580220             3         3        11        11        11        19         4         4         2         8        10
     RHW 19580221             3         3         3        11        19        19         3         3         2         8         6
     RHW 19580222             4         3         4         3         4         3         3         3         6        16        15
     RHW 19580223             1         3         9        11         9        19         3         3         7        11        21
     RHW 19580224             1         1         1         9        17         9         1         1         7        11        21
     RHW 19580225             2         1        10         9        10        17         2         2         7        14        24
     RHW 19580226             9         2        17         2        25        18         8         8         9        16        15
     RHW 19580227             5         8         5         8         5         8         7         7         6        13        22
     RHW 19580228             6         7        14         7        14        23         6        10         1         9        22
     RHW 19580301             6         5        14        13        14        13         6        11         6        13        22
     RHW 19580302             5         4        13         4        21        20         4         4         6        13        10
     RHW 19580303             5         4        13         4        21        20         4         4         1         9        22
     RHW 19580304             6         5        14         5        14        21         5         5         5         3        16
     RHW 19580305            10         5        18        13        26        13         5        10         4         5        11
     RHW 19580306             3         1        11         9        19         9         1         1         2         1         4
     RHW 19580307             3         1         3         1        19        17         1         1         6         8         6
